name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"44,584,663,000","39,280,359,000","33,975,712,000","25,974,400,000","19,012,742,000","13,586,610,000","10,202,871,000","7,056,651,000","5,412,563,000","3,967,890,000","3,069,196,000","982,067,000","679,734,000","617,946,000","647,020,000","608,779,000","364,681,000","251,793,000","176,012,000","130,530,000","41,630,000","52,488,000"
	CurrentAssets,"8,069,825,000","9,761,580,000","6,178,504,000","9,694,135,000","7,669,974,000","5,720,291,000","5,431,840,000","3,940,469,000","3,058,763,000","2,240,791,000","1,830,857,000","640,967,000","411,013,000","361,447,000","416,532,000","428,418,000","243,691,000","187,346,000","138,946,000","107,075,000","19,552,000",
		CashCashEquivalentsAndShortTermInvestments,"6,027,804,000","8,205,550,000","5,018,437,000","3,794,483,000","2,822,795,000","1,733,782,000","2,310,715,000","1,608,496,000","1,200,405,000","748,078,000","797,811,000","350,387,000","320,242,000","297,271,000","385,142,000","400,430,000","212,256,000","174,461,000","135,191,000","103,610,000","16,131,000","14,895,000"
			CashAndCashEquivalents,"6,027,804,000","8,205,550,000","5,018,437,000","3,794,483,000","2,822,795,000","1,467,576,000","1,809,330,000","1,113,608,000","604,965,000","290,291,000","508,053,000","194,499,000","134,224,000","139,881,000","177,439,000","400,430,000","212,256,000","174,461,000","89,894,000","59,814,000","16,131,000","14,895,000"
				CashFinancial,"4,103,613,000","3,331,860,000","3,103,525,000","2,572,685,000",,,,,,,,,,,,,,,,,,
				CashEquivalents,"1,924,191,000","4,873,690,000","1,914,912,000","1,221,798,000",,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,0,"266,206,000","501,385,000","494,888,000","595,440,000","457,787,000","289,758,000","155,888,000","186,018,000","157,390,000","207,703,000",,,,"45,297,000","43,796,000",,0
		Receivables,"804,320,000","610,819,000","979,068,000",,,,,,,,,,,,,,,,,,,
			AccountsReceivable,"804,320,000","610,819,000","454,399,000",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,"524,669,000",,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,"181,006,000","37,329,000",,,,,,,,,
		PrepaidAssets,"323,818,000","203,042,000","180,999,000",,,,,,,"59,929,000","56,007,000","62,217,000","29,624,000","26,539,000","13,099,000","14,198,000","13,100,000","2,741,000","3,510,000","3,056,000","1,751,000",
		CurrentDeferredAssets,,,,,,,,,,,,,,"5,617,000","2,254,000","3,155,000","13,666,000",,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,"5,617,000","2,254,000","3,155,000","13,666,000",,,,,
		OtherCurrentAssets,"913,883,000","742,169,000","1,160,067,000","5,899,652,000","4,847,179,000","3,986,509,000","3,121,125,000","2,331,973,000","1,858,358,000","1,432,784,000","977,039,000","228,363,000","23,818,000","32,020,000","16,037,000","10,635,000","4,669,000","10,144,000","245,000","409,000","1,670,000",
	TotalNonCurrentAssets,"36,514,838,000","29,518,779,000","27,797,208,000","16,280,265,000","11,342,768,000","7,866,319,000","4,771,031,000","3,116,182,000","2,353,800,000","1,727,099,000","1,238,339,000","341,100,000","268,721,000","256,499,000","230,488,000","180,361,000","120,990,000","64,447,000","37,066,000","23,455,000","22,078,000",
		NetPPE,"1,323,453,000","960,183,000","565,221,000","418,281,000","319,404,000","250,395,000","173,412,000","149,875,000","133,605,000","131,681,000","136,353,000","128,570,000","131,653,000","124,948,000","77,326,000","55,503,000","40,213,000","18,728,000","9,772,000","15,592,000","11,838,000",
			GrossPPE,"1,939,759,000","1,454,973,000","981,226,000","786,800,000","641,218,000","544,604,000","470,758,000","414,691,000","357,196,000","336,037,000","306,038,000","265,149,000","265,947,000","223,786,000","143,557,000","100,846,000","72,623,000","42,205,000","29,325,000","80,319,000","53,229,000",
				Properties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
				LandAndImprovements,"82,381,000","50,700,000","6,125,000","6,125,000",,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"48,123,000","42,717,000","33,141,000","73,468,000","40,681,000","40,681,000","40,681,000","40,681,000","40,681,000","40,681,000","40,681,000","40,681,000","40,681,000","33,124,000","18,440,000","14,389,000","2,866,000","2,482,000","2,046,000","1,636,000","1,627,000",
				MachineryFurnitureEquipment,"283,213,000","255,447,000","242,875,000","127,919,000","79,256,000","32,185,000","30,914,000","25,758,000","160,317,000","141,474,000","220,062,000","171,056,000","175,013,000","123,520,000","84,607,000","58,092,000","43,430,000","25,131,000","19,411,000","19,888,000","2,033,000",
				OtherProperties,"380,452,000","283,014,000","243,565,000","277,712,000","283,166,000","255,497,000","282,525,000","278,418,000","96,361,000","100,207,000",,,,"63,184,000","22,058,000","16,883,000","13,061,000","10,094,000","7,868,000","58,795,000","49,569,000",
				ConstructionInProgress,"282,248,000","298,558,000","100,521,000","19,548,000","8,267,000","108,296,000","8,845,000","12,495,000","8,643,000","8,282,000","822,000","16,882,000","15,097,000","3,958,000","18,452,000","11,482,000","13,266,000","4,498,000",,,,
				Leases,"863,342,000","524,537,000","354,999,000","282,028,000","229,848,000","107,945,000","107,793,000","57,339,000","51,194,000","45,393,000","44,473,000","36,530,000","35,156,000",,,,,,,,,
			AccumulatedDepreciation,"-616,306,000","-494,790,000","-416,005,000","-368,519,000","-321,814,000","-294,209,000","-297,346,000","-264,816,000","-223,591,000","-204,356,000","-169,685,000","-136,579,000","-134,294,000","-98,838,000","-66,231,000","-45,343,000","-32,410,000","-23,477,000","-19,553,000","-64,727,000","-41,391,000",
		GoodwillAndOtherIntangibleAssets,"30,919,539,000","25,383,950,000","24,504,567,000","14,960,954,000","10,371,055,000","7,274,501,000","4,312,817,000","2,773,326,000","2,091,071,000","1,506,008,000",,"180,973,000","108,810,000",,"132,455,000","105,877,000","457,000","961,000","2,948,000","6,094,000","7,917,000",
			OtherIntangibleAssets,"30,919,539,000","25,383,950,000","24,504,567,000","14,960,954,000","10,371,055,000","7,274,501,000","4,312,817,000","2,773,326,000","2,091,071,000","1,506,008,000",,"180,973,000","108,810,000",,"132,455,000","105,877,000","457,000","961,000","2,948,000","6,094,000","7,917,000",
		NonCurrentDeferredAssets,,,,,,,,,,,,"17,467,000","15,958,000","22,409,000","16,242,000","15,600,000","21,239,000",,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,"17,467,000","15,958,000","22,409,000","16,242,000","15,600,000","21,239,000",,,,,
		OtherNonCurrentAssets,"4,271,846,000","3,174,646,000","2,727,420,000","901,030,000","652,309,000","341,423,000","284,802,000","192,981,000","129,124,000","89,410,000","1,101,986,000","195,063,000","12,300,000","109,142,000","4,465,000","3,381,000","59,081,000","44,758,000","24,346,000","1,769,000","2,323,000",
TotalLiabilitiesNetMinorityInterest,"28,735,415,000","28,215,119,000","26,393,555,000","20,735,635,000","15,430,786,000","10,906,810,000","7,979,445,000","5,198,943,000","4,079,002,000","3,223,217,000","2,426,386,000","691,903,000","480,591,000","270,791,000","216,271,000","194,568,000","138,429,000","95,510,000","63,304,000","41,174,000","132,134,000","125,755,000"
	CurrentLiabilities,"8,488,966,000","7,805,785,000","6,855,696,000","6,487,320,000","5,466,312,000","4,586,657,000","3,529,624,000","2,663,154,000","2,154,203,000","1,675,926,000","1,225,055,000","388,579,000","226,369,000","216,017,000","212,576,000","193,447,000","137,587,000","94,910,000","63,019,000","40,426,000","26,208,000",
		PayablesAndAccruedExpenses,"2,286,834,000","1,758,379,000","1,517,390,000","1,040,402,000","674,649,000","510,474,000","393,880,000","271,327,000","162,453,000","139,607,000","1,049,022,000","250,793,000","124,862,000","131,738,000","140,911,000","123,769,000","89,054,000","62,906,000","44,279,000","29,452,000","18,259,000",
			Payables,"837,483,000","656,183,000","674,347,000","562,985,000","359,555,000","312,842,000","253,491,000","201,581,000","108,435,000","86,468,000","1,012,566,000","222,824,000","91,475,000","100,344,000","104,445,000","93,864,000","63,491,000","49,775,000","32,654,000","20,350,000","13,715,000",
				AccountsPayable,"837,483,000","656,183,000","674,347,000","562,985,000","359,555,000","312,842,000","253,491,000","201,581,000","108,435,000","86,468,000","1,012,566,000","222,824,000","91,475,000","100,344,000","104,445,000","93,864,000","63,491,000","49,775,000","32,654,000","20,350,000","13,715,000",
			CurrentAccruedExpenses,"1,449,351,000","1,102,196,000","843,043,000","477,417,000","315,094,000","197,632,000","140,389,000","69,746,000","54,018,000","53,139,000","36,456,000","27,969,000","33,387,000","31,394,000","36,466,000","29,905,000","25,563,000","13,131,000","11,625,000","9,102,000","4,544,000",
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,"17,763,000","8,520,000",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"699,823,000","499,878,000",,,,,,,,,"2,319,000","2,083,000","1,410,000","1,152,000",,,,"68,000","416,000","1,231,000","3,012,000",
			CurrentDebt,"699,823,000","499,878,000",,,,,,,,,,,,"1,152,000",,,,"68,000","416,000","1,231,000","3,012,000",
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,"1,667,000",
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,"1,345,000",
			CurrentCapitalLeaseObligation,,,,,,,,,,,"2,319,000","2,083,000","1,410,000",,,,,,,,,
		CurrentDeferredLiabilities,"1,209,342,000","1,117,992,000","924,745,000","760,899,000","618,622,000","443,472,000","346,721,000","274,586,000","215,767,000","169,472,000","148,796,000","127,183,000","100,097,000","83,127,000","71,665,000","69,678,000","48,533,000","31,936,000","18,324,000","9,743,000","4,937,000",
			CurrentDeferredRevenue,"1,209,342,000","1,117,992,000","924,745,000","760,899,000","618,622,000","443,472,000","346,721,000","274,586,000","215,767,000","169,472,000","148,796,000","127,183,000","100,097,000","83,127,000","71,665,000","69,678,000","48,533,000","31,936,000","18,324,000","9,743,000","4,937,000",
		OtherCurrentLiabilities,"4,292,967,000","4,429,536,000","4,413,561,000","4,686,019,000","4,173,041,000","3,632,711,000","2,789,023,000","2,117,241,000","1,775,983,000","1,366,847,000","7,155,000",,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"20,246,449,000","20,409,334,000","19,537,859,000","14,248,315,000","9,964,474,000","6,320,153,000","4,449,821,000","2,535,789,000","1,924,799,000","1,547,291,000","1,201,331,000","303,324,000","254,222,000","54,774,000","3,695,000","1,121,000","842,000","600,000","285,000","748,000","105,926,000",
		LongTermDebtAndCapitalLeaseObligation,"14,693,072,000","15,809,095,000","14,759,260,000","10,360,058,000","6,499,432,000","3,364,311,000","2,371,362,000","900,000,000","500,000,000","400,000,000","400,000,000","234,123,000","236,572,000","37,988,000",,,,,"44,000","460,000","3,856,000","2,024,000"
			LongTermDebt,"14,693,072,000","15,809,095,000","14,759,260,000","10,360,058,000","6,499,432,000","3,364,311,000","2,371,362,000","900,000,000","500,000,000","400,000,000","400,000,000","200,000,000","200,000,000",,,,,,,,"2,799,000",
			LongTermCapitalLeaseObligation,,,,,,,,,,,,"34,123,000","36,572,000","37,988,000",,,,,"44,000","460,000","1,057,000","2,024,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,,,,"101,830,000",
		OtherNonCurrentLiabilities,"5,553,377,000","4,600,239,000","4,778,599,000","3,888,257,000","3,465,042,000","2,955,842,000","2,078,459,000","1,635,789,000","1,424,799,000","1,147,291,000","801,331,000","69,201,000","17,650,000","16,786,000",,,,,"241,000","288,000","240,000",
TotalEquityGrossMinorityInterest,"15,849,248,000","11,065,240,000","7,582,157,000","5,238,765,000","3,581,956,000","2,679,800,000","2,223,426,000","1,857,708,000","1,333,561,000","744,673,000","642,810,000","290,164,000","199,143,000","347,155,000","430,749,000","414,211,000","226,252,000","156,283,000","112,708,000","89,356,000","-90,504,000","-73,267,000"
	StockholdersEquity,"15,849,248,000","11,065,240,000","7,582,157,000","5,238,765,000","3,581,956,000","2,679,800,000","2,223,426,000","1,857,708,000","1,333,561,000","744,673,000","642,810,000","290,164,000","199,143,000","347,155,000","430,749,000","414,211,000","226,252,000","156,283,000","112,708,000","89,356,000","-90,504,000","-73,267,000"
		CapitalStock,"4,024,561,000","3,447,698,000","2,793,929,000","2,315,988,000","1,871,396,000","1,599,762,000","1,324,809,000","60,000","60,000","56,000","55,000","53,000","53,000","62,000","65,000","69,000","55,000","53,000","51,000","22,000","8,000",
			PreferredStock,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,"6,000",
			CommonStock,"4,024,561,000","3,447,698,000","2,793,929,000","2,315,988,000","1,871,396,000","1,599,762,000","1,324,809,000","60,000","60,000","56,000","55,000","53,000","53,000","62,000","65,000","69,000","55,000","53,000","51,000","22,000","2,000",
		AdditionalPaidInCapital,,,,,,,,"1,042,810,000","777,441,000","301,616,000","219,119,000","51,622,000",0,"338,577,000","402,710,000","454,731,000","317,194,000","292,843,000","270,836,000","259,172,000","52,479,000",
		RetainedEarnings,"12,689,372,000","7,573,144,000","4,811,749,000","2,942,359,000","1,731,117,000","1,128,603,000","941,925,000","819,284,000","552,485,000","440,082,000","422,930,000","237,739,000","198,817,000","108,452,000","26,363,000","-40,589,000","-89,671,000","-131,698,000","-153,293,000","-159,213,000","-137,266,000",
		TreasuryStock,"824,190,000",,,,,,,,,,,,0,"100,020,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-40,495,000","44,398,000","-23,521,000","-19,582,000","-20,557,000","-48,565,000","-43,308,000","-4,446,000","3,575,000","2,919,000","706,000","750,000","273,000","84,000","1,611,000",,"-1,326,000","-4,915,000","-4,886,000","-10,625,000","-5,725,000",
TotalCapitalization,"30,542,320,000","26,874,335,000","22,341,417,000","15,598,823,000","10,081,388,000","6,044,111,000","4,594,788,000","2,757,708,000","1,833,561,000","1,144,673,000","1,042,810,000","490,164,000","399,143,000","347,155,000","430,749,000","414,211,000","226,252,000","156,283,000","112,708,000","89,356,000","-87,705,000","-73,267,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,"6,000",
CommonStockEquity,"15,849,248,000","11,065,240,000","7,582,157,000","5,238,765,000","3,581,956,000","2,679,800,000","2,223,426,000","1,857,708,000","1,333,561,000","744,673,000","642,810,000","290,164,000","199,143,000","347,155,000","430,749,000","414,211,000","226,252,000","156,283,000","112,708,000","89,356,000","-90,510,000","-73,267,000"
CapitalLeaseObligations,,,,,,,,,,,"2,319,000","36,206,000","37,982,000","37,988,000",,,,,"44,000","460,000","1,057,000","2,024,000"
NetTangibleAssets,"-15,070,291,000","-14,318,710,000","-16,922,410,000","-9,722,189,000","-6,789,099,000","-4,594,701,000","-2,089,391,000","-915,618,000","-757,510,000","-761,335,000","642,810,000","290,164,000","90,333,000","347,155,000","298,294,000","308,334,000","225,795,000","155,322,000","109,760,000","83,262,000","-98,421,000","-73,267,000"
WorkingCapital,"-419,141,000","1,955,795,000","-677,192,000","3,206,815,000","2,203,662,000","1,133,634,000","1,902,216,000","1,277,315,000","904,560,000","564,865,000","605,802,000","252,388,000","184,644,000","145,430,000","203,956,000","234,971,000","106,104,000","92,436,000","75,927,000","66,649,000","-6,656,000",
InvestedCapital,"31,242,143,000","27,374,213,000","22,341,417,000","15,598,823,000","10,081,388,000","6,044,111,000","4,594,788,000","2,757,708,000","1,833,561,000","1,144,673,000","1,042,810,000","490,164,000","399,143,000","348,307,000","430,749,000","414,211,000","226,252,000","156,351,000","113,124,000","90,587,000","-84,699,000","-73,267,000"
TangibleBookValue,"-15,070,291,000","-14,318,710,000","-16,922,410,000","-9,722,189,000","-6,789,099,000","-4,594,701,000","-2,089,391,000","-915,618,000","-757,510,000","-761,335,000","642,810,000","290,164,000","90,333,000","347,155,000","298,294,000","308,334,000","225,795,000","155,322,000","109,760,000","83,262,000","-98,427,000","-73,267,000"
TotalDebt,"15,392,895,000","16,308,973,000","14,759,260,000","10,360,058,000","6,499,432,000","3,364,311,000","2,371,362,000","900,000,000","500,000,000","400,000,000","402,319,000","236,206,000","237,982,000","39,140,000",,,,"68,000","460,000","1,691,000","6,868,000","2,024,000"
NetDebt,"9,365,091,000","8,103,423,000","9,740,823,000","6,565,575,000","3,676,637,000","1,896,735,000","562,032,000",,,"109,709,000",,"5,501,000","65,776,000",,,,,,,,,
ShareIssued,"445,527,585","442,895,261","438,806,649","436,598,597","433,392,686","430,054,212","427,940,440","422,910,887","417,249,007","389,110,169","387,790,305","369,473,643","398,518,099","436,474,934","454,390,405","480,287,241","383,290,117","369,124,175","355,945,590","314,241,130","289,073,036","289,073,036"
OrdinarySharesNumber,"443,963,107","442,895,261","438,806,649","436,598,597","433,392,686","430,054,212","427,940,440","422,910,887","417,249,007","389,110,169","387,790,305","369,473,643","374,080,511","412,037,346","454,390,405","480,287,241","383,290,117","369,124,175","355,945,590","314,241,130","289,073,036","289,073,036"
TreasurySharesNumber,"1,564,478",,,,,,,,,,,,"24,437,588","24,437,588",,,,,,,,